"Licenses on machine (DES-PC) for john adam (desadam) on 13 February 2026"
"Valid Locations","Product Name","Publisher Name","Subtype","Expiration Date","Deposit Date","Type","License Status","License Period","Launch Count","Activation Location","Owner","Activations","Activate By Date","Group Name","Allocated Seats","Total Seats","Activation Status","Publisher License ID",
"iLok (2nd generation and later), your computer","Transient Shaper","Softube AB","Product","","19/04/2022 16:00","License","Active","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Moog Minimoog","Universal Audio, Inc.","Product","","11/02/2024 09:44","License","Active","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Wasted Space","Softube AB","Product","","02/04/2025 22:28","License","Active","","","DES-MINI-PC, DES-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Pure Plate Reverb","Universal Audio, Inc.","Product","","25/04/2024 18:50","License","Active","","","DES-MINI-PC, DES-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","American Class A","Softube AB","Product","","29/12/2023 14:59","License","Active","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Dirty Tape","Softube AB","Product","","01/09/2022 19:00","License","Active","","","DES-MINI-PC, DES-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","VCA Compressor","Softube AB","Product","","12/12/2023 19:28","License","Active","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Weiss Gambit Series for Console 1","Softube AB","Product","","09/07/2022 22:59","License","Active","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","FET Compressor","Softube AB","Product","","15/04/2022 14:04","License","Active","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","PolyMAX Synthesizer","Universal Audio, Inc.","Product","","09/08/2023 09:26","License","Active","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","API 2500 Bus Compressor","Universal Audio, Inc.","Product","","08/06/2024 19:22","License","Active","","","DES-MINI-PC, DES-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Valley People Dyna-mite","Softube AB","Product","","06/01/2023 08:38","License","Active","","","DES-MINI-PC, DES-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","British Class A","Softube AB","Product","","29/10/2022 08:31","License","Active","","","DES-MINI-PC, DES-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Pultec Passive EQ Collection","Universal Audio, Inc.","Product","","25/04/2024 18:49","License","Active","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Tube Delay","Softube AB","Product","","15/05/2022 12:15","License","Active","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Studer A800 Tape Recorder","Universal Audio, Inc.","Product","","11/02/2024 09:44","License","Active","","","DES-MINI-PC, DES-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","SSL XL 9000 K-Series","Softube AB","Product","","17/12/2024 20:32","Not for Resale","Active","","","DES-MINI-PC, DES-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","LA-2A Tube Compressor","Universal Audio, Inc.","Product","","10/10/2023 07:28","License","Active","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Passive-Active Pack","Softube AB","Product","","15/04/2022 14:04","License","Active","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Harmonics Analog Saturation Processor","Softube AB","Product","","15/04/2022 14:04","License","Active","","","DES-MINI-PC, DES-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Bus Processor","Softube AB","Product","","18/04/2023 07:39","License","Active","","","DES-MINI-PC, DES-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Galaxy Tape Echo","Universal Audio, Inc.","Product","","25/04/2024 18:49","License","Active","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","1176 Classic Limiter Collection","Universal Audio, Inc.","Product","","11/02/2024 09:44","License","Active","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","API Vision Channel Strip","Universal Audio, Inc.","Product","","09/05/2024 14:56","License","Active","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Opal Morphing Synth","Universal Audio, Inc.","Product","","11/02/2024 09:44","License","Active","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Lexicon 224 Digital Reverb","Universal Audio, Inc.","Product","","11/02/2024 09:44","License","Active","","","DES-MINI-PC, DES-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Century Tube Channel Strip","Universal Audio, Inc.","Product","","25/04/2024 18:49","License","Active","","","DES-MINI-PC, DES-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Model 82 Sequencing Mono Synth","Softube AB","Product","","06/02/2024 20:21","License","Active","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Verve Analog Machines Essentials","Universal Audio, Inc.","Product","","25/04/2024 18:50","License","Active","","","DES-MINI-PC, DES-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Saturation Knob","Softube AB","Product","","03/03/2023 08:56","License","Active","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Oxide Tape Recorder","Universal Audio, Inc.","Product","","25/04/2024 18:49","License","Active","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Teletronix LA-2A Leveler Collection","Universal Audio, Inc.","Product","","25/04/2024 18:50","License","Active","","","DES-MINI-PC, DES-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Tape","Softube AB","Product","","15/04/2022 14:04","License","Active","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","TSAR-1 Reverb Bundle (Native) (2)","Softube AB","Locked Group","","20/07/2023 15:31","License","Active","","","DES-MINI-PC, DES-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","TSAR-1 Reverb","Softube AB","Product","","20/07/2023 15:31","","Active","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","TSAR-1R Reverb","Softube AB","Product","","20/07/2023 15:31","","Active","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Console 1 Channel Mk II (2)","Softube AB","Locked Group","","06/11/2023 11:45","License","Active","","","DES-MINI-PC, DES-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Console 1 System","Softube AB","Product","","06/11/2023 11:45","","Active","","","DES-MINI-PC, DES-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","SSL SL 4000 E-Series","Softube AB","Product","","06/11/2023 11:45","","Active","","","DES-MINI-PC, DES-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","UA 610 Tube Preamp & EQ Collection","Universal Audio, Inc.","Product","","14/01/2026 09:57","License","Active","","","DES-MINI-PC, DES-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Flow Complete Suite (104)","Softube AB","Locked Group","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-MINI-PC, DES-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Weiss MM-1 Mastering Maximizer","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-MINI-PC, DES-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Trident A-Range","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-MINI-PC, DES-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Summit Audio Grand Channel","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Rokstenen Superstortion","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Chandler Limited Germanium Compressor","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-MINI-PC, DES-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Vocoder","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-MINI-PC, DES-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Wahstena","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-MINI-PC, DES-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Model 84 Polyphonic Synthesizer","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Blaze Works Amplification","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","FET Compressor Mk II","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Wild Boar","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-MINI-PC, DES-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Model 77 Reverb","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-MINI-PC, DES-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Empirical Labs Professor Punch-Knuckles","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","ODR","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-MINI-PC, DES-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Integrated Preamplifier","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Weiss Exciter","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Weiss DS1-MK3","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Weiss Compressor/Limiter","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Dimensions","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Summit Audio EQF-100","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-MINI-PC, DES-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Saturation Knob","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Chandler Limited Zener-Bender for Console 1","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Atlantis Dual Chambers","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
